pais_id,pais,año,mes,ccp_origen,producto_origen,ccp_destino,producto_destino,uni_med_id,uni_med,cantidad_por_millon
32,Argentina,2008,7,2211,Leche cruda,22222,Leche condensada,l,Litros,1.35
32,Argentina,2008,7,2211,Leche cruda,22230,Yogur ,l,Litros,33.83
32,Argentina,2008,7,2211,Leche cruda,22290,Postres lacteos y flanes,l,Litros,4.38
32,Argentina,2008,8,2211,Leche cruda,2211,Leche informal,l,Litros,63.04
32,Argentina,2008,8,2211,Leche cruda,22110,Leche pasteurizada entera,l,Litros,75.72
32,Argentina,2008,8,2211,Leche cruda,22110,Leche pasteurizada semidescremada,l,Litros,32.58
32,Argentina,2008,8,2211,Leche cruda,22110,Leche pasteurizada descremada,l,Litros,0.95
32,Argentina,2008,8,2211,Leche cruda,22110,Leche esterilizada entera,l,Litros,24.56
32,Argentina,2008,8,2211,Leche cruda,22110,Leche esterilizada semidescremada,l,Litros,10.89
32,Argentina,2008,8,2211,Leche cruda,22110,Leche esterilizada descremada,l,Litros,1.47
32,Argentina,2008,8,2211,Leche cruda,22110,Leche chocolatada,l,Litros,4.83
32,Argentina,2008,8,2211,Leche cruda,22211,Leche en polvo entera ,l,Litros,148.88
32,Argentina,2008,8,2211,Leche cruda,22212,Leche en polvo descremada,l,Litros,35.33
32,Argentina,2008,8,2211,Leche cruda,22251,Quesos de baja humedad (pasta dura),l,Litros,88.91
32,Argentina,2008,8,2211,Leche cruda,22251,Quesos de mediana humedad (pasta semidura),l,Litros,133.82
32,Argentina,2008,8,2211,Leche cruda,22251,Quesos de alta humedad (pasta blanda),l,Litros,127.62
32,Argentina,2008,8,2211,Leche cruda,22241,Manteca,l,Litros,77.94
32,Argentina,2008,8,2211,Leche cruda,22222,Dulce de leche,l,Litros,20.03
32,Argentina,2008,8,2211,Leche cruda,22222,Leche condensada,l,Litros,1.19
32,Argentina,2008,8,2211,Leche cruda,22230,Yogur ,l,Litros,30.23
32,Argentina,2008,8,2211,Leche cruda,22290,Postres lacteos y flanes,l,Litros,4.4
32,Argentina,2008,9,2211,Leche cruda,2211,Leche informal,l,Litros,58.42
32,Argentina,2008,9,2211,Leche cruda,22110,Leche pasteurizada entera,l,Litros,75.97
32,Argentina,2008,9,2211,Leche cruda,22110,Leche pasteurizada semidescremada,l,Litros,30.74
32,Argentina,2008,9,2211,Leche cruda,22110,Leche pasteurizada descremada,l,Litros,0.97
32,Argentina,2008,9,2211,Leche cruda,22110,Leche esterilizada entera,l,Litros,16.69
32,Argentina,2008,9,2211,Leche cruda,22110,Leche esterilizada semidescremada,l,Litros,8.91
32,Argentina,2008,9,2211,Leche cruda,22110,Leche esterilizada descremada,l,Litros,1.19
32,Argentina,2008,9,2211,Leche cruda,22110,Leche chocolatada,l,Litros,6.82
32,Argentina,2008,9,2211,Leche cruda,22211,Leche en polvo entera ,l,Litros,173.23
32,Argentina,2008,9,2211,Leche cruda,22212,Leche en polvo descremada,l,Litros,29.54
32,Argentina,2008,9,2211,Leche cruda,22251,Quesos de baja humedad (pasta dura),l,Litros,88.69
32,Argentina,2008,9,2211,Leche cruda,22251,Quesos de mediana humedad (pasta semidura),l,Litros,139.72
32,Argentina,2008,9,2211,Leche cruda,22251,Quesos de alta humedad (pasta blanda),l,Litros,136.21
32,Argentina,2008,9,2211,Leche cruda,22241,Manteca,l,Litros,75.02
32,Argentina,2008,9,2211,Leche cruda,22222,Dulce de leche,l,Litros,16.42
32,Argentina,2008,9,2211,Leche cruda,22222,Leche condensada,l,Litros,1.29
32,Argentina,2008,9,2211,Leche cruda,22230,Yogur ,l,Litros,35.16
32,Argentina,2008,9,2211,Leche cruda,22290,Postres lacteos y flanes,l,Litros,4.11
32,Argentina,2008,10,2211,Leche cruda,2211,Leche informal,l,Litros,61.79
32,Argentina,2008,10,2211,Leche cruda,22110,Leche pasteurizada entera,l,Litros,78.89
32,Argentina,2008,10,2211,Leche cruda,22110,Leche pasteurizada semidescremada,l,Litros,30.6
32,Argentina,2008,10,2211,Leche cruda,22110,Leche pasteurizada descremada,l,Litros,1.02
32,Argentina,2008,10,2211,Leche cruda,22110,Leche esterilizada entera,l,Litros,21.93
32,Argentina,2008,10,2211,Leche cruda,22110,Leche esterilizada semidescremada,l,Litros,10.89
32,Argentina,2008,10,2211,Leche cruda,22110,Leche esterilizada descremada,l,Litros,1.46
32,Argentina,2008,10,2211,Leche cruda,22110,Leche chocolatada,l,Litros,4.64
32,Argentina,2008,10,2211,Leche cruda,22211,Leche en polvo entera ,l,Litros,186.09
32,Argentina,2008,10,2211,Leche cruda,22212,Leche en polvo descremada,l,Litros,46.54
32,Argentina,2008,10,2211,Leche cruda,22251,Quesos de baja humedad (pasta dura),l,Litros,105.27
32,Argentina,2008,10,2211,Leche cruda,22251,Quesos de mediana humedad (pasta semidura),l,Litros,150.32
32,Argentina,2008,10,2211,Leche cruda,22251,Quesos de alta humedad (pasta blanda),l,Litros,132.28
32,Argentina,2008,10,2211,Leche cruda,22241,Manteca,l,Litros,90.4
32,Argentina,2008,10,2211,Leche cruda,22222,Dulce de leche,l,Litros,16.04
32,Argentina,2008,10,2211,Leche cruda,22222,Leche condensada,l,Litros,1.26
32,Argentina,2008,10,2211,Leche cruda,22230,Yogur ,l,Litros,38.16
32,Argentina,2008,10,2211,Leche cruda,22290,Postres lacteos y flanes,l,Litros,4.31
32,Argentina,2008,11,2211,Leche cruda,2211,Leche informal,l,Litros,59.04
32,Argentina,2008,11,2211,Leche cruda,22110,Leche pasteurizada entera,l,Litros,78.04
32,Argentina,2008,11,2211,Leche cruda,22110,Leche pasteurizada semidescremada,l,Litros,29.97
32,Argentina,2008,11,2211,Leche cruda,22110,Leche pasteurizada descremada,l,Litros,1.03
32,Argentina,2008,11,2211,Leche cruda,22110,Leche esterilizada entera,l,Litros,16.69
32,Argentina,2008,11,2211,Leche cruda,22110,Leche esterilizada semidescremada,l,Litros,12.2
32,Argentina,2008,11,2211,Leche cruda,22110,Leche esterilizada descremada,l,Litros,1.18
32,Argentina,2008,11,2211,Leche cruda,22110,Leche chocolatada,l,Litros,7.83
32,Argentina,2008,11,2211,Leche cruda,22211,Leche en polvo entera ,l,Litros,178.36
32,Argentina,2008,11,2211,Leche cruda,22212,Leche en polvo descremada,l,Litros,40.21
32,Argentina,2008,11,2211,Leche cruda,22251,Quesos de baja humedad (pasta dura),l,Litros,97.21
32,Argentina,2008,11,2211,Leche cruda,22251,Quesos de mediana humedad (pasta semidura),l,Litros,143.65
32,Argentina,2008,11,2211,Leche cruda,22251,Quesos de alta humedad (pasta blanda),l,Litros,124.37
32,Argentina,2008,11,2211,Leche cruda,22241,Manteca,l,Litros,88.8
32,Argentina,2008,11,2211,Leche cruda,22222,Dulce de leche,l,Litros,13.75
32,Argentina,2008,11,2211,Leche cruda,22222,Leche condensada,l,Litros,1.04
32,Argentina,2008,11,2211,Leche cruda,22230,Yogur ,l,Litros,42.34
32,Argentina,2008,11,2211,Leche cruda,22290,Postres lacteos y flanes,l,Litros,3.86
32,Argentina,2008,12,2211,Leche cruda,2211,Leche informal,l,Litros,57.32
32,Argentina,2008,12,2211,Leche cruda,22110,Leche pasteurizada entera,l,Litros,77.47
32,Argentina,2008,12,2211,Leche cruda,22110,Leche pasteurizada semidescremada,l,Litros,29.05
32,Argentina,2008,12,2211,Leche cruda,22110,Leche pasteurizada descremada,l,Litros,0.99
32,Argentina,2008,12,2211,Leche cruda,22110,Leche esterilizada entera,l,Litros,16.68
32,Argentina,2008,12,2211,Leche cruda,22110,Leche esterilizada semidescremada,l,Litros,11.02
32,Argentina,2008,12,2211,Leche cruda,22110,Leche esterilizada descremada,l,Litros,0.87
32,Argentina,2008,12,2211,Leche cruda,22110,Leche chocolatada,l,Litros,7.9
32,Argentina,2008,12,2211,Leche cruda,22211,Leche en polvo entera ,l,Litros,163.73
32,Argentina,2008,12,2211,Leche cruda,22212,Leche en polvo descremada,l,Litros,37.09
32,Argentina,2008,12,2211,Leche cruda,22251,Quesos de baja humedad (pasta dura),l,Litros,86.68
32,Argentina,2008,12,2211,Leche cruda,22251,Quesos de mediana humedad (pasta semidura),l,Litros,138.46
32,Argentina,2008,12,2211,Leche cruda,22251,Quesos de alta humedad (pasta blanda),l,Litros,152.15
32,Argentina,2008,12,2211,Leche cruda,22241,Manteca,l,Litros,81.6
32,Argentina,2008,12,2211,Leche cruda,22222,Dulce de leche,l,Litros,17.03
32,Argentina,2008,12,2211,Leche cruda,22222,Leche condensada,l,Litros,0.51
32,Argentina,2008,12,2211,Leche cruda,22230,Yogur ,l,Litros,39.55
32,Argentina,2008,12,2211,Leche cruda,22290,Postres lacteos y flanes,l,Litros,3.68
32,Argentina,2009,1,2211,Leche cruda,2211,Leche informal,l,Litros,60.33
32,Argentina,2009,1,2211,Leche cruda,22110,Leche pasteurizada entera,l,Litros,72.95
32,Argentina,2009,1,2211,Leche cruda,22110,Leche pasteurizada semidescremada,l,Litros,26.36
